period start,updates/m,creations/m,sales/m,deletions/m
2026-06-29 23:05:00+00,69.2000000000000000,41.4000000000000000,212.0000000000000000,58.6000000000000000
2026-06-29 23:10:00+00,65.8000000000000000,46.4000000000000000,239.4000000000000000,63.4000000000000000
2026-06-29 23:15:00+00,50.0000000000000000,36.4000000000000000,214.4000000000000000,57.0000000000000000
2026-06-29 23:20:00+00,37.8000000000000000,39.8000000000000000,172.6000000000000000,45.0000000000000000
2026-06-29 23:25:00+00,52.6000000000000000,32.8000000000000000,150.4000000000000000,34.0000000000000000
2026-06-29 23:30:00+00,33.0000000000000000,51.4000000000000000,214.4000000000000000,37.2000000000000000
2026-06-29 23:35:00+00,36.0000000000000000,48.2000000000000000,203.2000000000000000,46.8000000000000000
2026-06-29 23:40:00+00,49.8000000000000000,34.6000000000000000,162.0000000000000000,50.2000000000000000
2026-06-29 23:45:00+00,44.0000000000000000,32.0000000000000000,233.6000000000000000,36.0000000000000000
2026-06-29 23:50:00+00,50.2000000000000000,40.4000000000000000,267.4000000000000000,61.2000000000000000
2026-06-29 23:55:00+00,48.8000000000000000,44.0000000000000000,232.6000000000000000,40.0000000000000000
2026-06-30 00:00:00+00,42.6000000000000000,44.4000000000000000,253.4000000000000000,70.0000000000000000
2026-06-30 00:05:00+00,49.6000000000000000,55.6000000000000000,219.6000000000000000,62.8000000000000000
2026-06-30 00:10:00+00,61.6000000000000000,66.6000000000000000,265.0000000000000000,63.8000000000000000
2026-06-30 00:15:00+00,57.0000000000000000,40.2000000000000000,165.4000000000000000,56.8000000000000000
2026-06-30 00:20:00+00,46.0000000000000000,46.2000000000000000,170.2000000000000000,54.0000000000000000
2026-06-30 00:25:00+00,55.0000000000000000,45.8000000000000000,167.4000000000000000,58.6000000000000000
2026-06-30 00:30:00+00,31.8000000000000000,48.4000000000000000,177.2000000000000000,50.6000000000000000
2026-06-30 00:35:00+00,48.2000000000000000,54.4000000000000000,206.8000000000000000,32.0000000000000000
2026-06-30 00:40:00+00,50.6000000000000000,37.0000000000000000,197.8000000000000000,53.4000000000000000
2026-06-30 00:45:00+00,48.4000000000000000,39.8000000000000000,224.0000000000000000,44.4000000000000000
2026-06-30 00:50:00+00,50.2000000000000000,43.8000000000000000,212.6000000000000000,46.8000000000000000
2026-06-30 00:55:00+00,36.2000000000000000,45.0000000000000000,183.6000000000000000,58.0000000000000000
2026-06-30 01:00:00+00,46.2000000000000000,56.8000000000000000,223.4000000000000000,57.0000000000000000
2026-06-30 01:05:00+00,60.4000000000000000,80.8000000000000000,213.8000000000000000,51.4000000000000000
2026-06-30 01:10:00+00,66.6000000000000000,52.4000000000000000,187.2000000000000000,50.6000000000000000
2026-06-30 01:15:00+00,77.6000000000000000,43.2000000000000000,168.8000000000000000,52.2000000000000000
2026-06-30 01:20:00+00,65.0000000000000000,41.2000000000000000,179.0000000000000000,52.4000000000000000
2026-06-30 01:25:00+00,56.0000000000000000,41.0000000000000000,278.6000000000000000,59.2000000000000000
2026-06-30 01:30:00+00,40.0000000000000000,34.8000000000000000,211.4000000000000000,64.8000000000000000
2026-06-30 01:35:00+00,37.4000000000000000,54.8000000000000000,218.6000000000000000,40.2000000000000000
2026-06-30 01:40:00+00,41.0000000000000000,48.2000000000000000,189.0000000000000000,58.2000000000000000
2026-06-30 01:45:00+00,44.4000000000000000,58.8000000000000000,198.4000000000000000,48.2000000000000000
2026-06-30 01:50:00+00,35.0000000000000000,50.2000000000000000,209.8000000000000000,58.2000000000000000
2026-06-30 01:55:00+00,40.0000000000000000,59.4000000000000000,203.0000000000000000,57.8000000000000000
2026-06-30 02:00:00+00,39.8000000000000000,55.8000000000000000,207.4000000000000000,51.2000000000000000
2026-06-30 02:05:00+00,43.4000000000000000,51.8000000000000000,201.6000000000000000,64.8000000000000000
2026-06-30 02:10:00+00,46.6000000000000000,44.0000000000000000,187.2000000000000000,40.0000000000000000
2026-06-30 02:15:00+00,63.8000000000000000,51.6000000000000000,192.2000000000000000,53.2000000000000000
2026-06-30 02:20:00+00,57.4000000000000000,39.4000000000000000,231.4000000000000000,46.6000000000000000
2026-06-30 02:25:00+00,58.4000000000000000,39.8000000000000000,191.0000000000000000,41.6000000000000000
2026-06-30 02:30:00+00,34.2000000000000000,26.4000000000000000,206.2000000000000000,60.8000000000000000
2026-06-30 02:35:00+00,36.0000000000000000,39.4000000000000000,178.0000000000000000,45.2000000000000000
2026-06-30 02:40:00+00,35.0000000000000000,41.2000000000000000,193.0000000000000000,62.0000000000000000
2026-06-30 02:45:00+00,39.6000000000000000,26.2000000000000000,206.4000000000000000,56.2000000000000000
2026-06-30 02:50:00+00,33.8000000000000000,37.6000000000000000,187.8000000000000000,44.8000000000000000
2026-06-30 02:55:00+00,22.0000000000000000,53.2000000000000000,196.4000000000000000,45.8000000000000000
2026-06-30 03:00:00+00,24.4000000000000000,58.4000000000000000,197.4000000000000000,53.0000000000000000
2026-06-30 03:05:00+00,45.0000000000000000,41.0000000000000000,236.2000000000000000,47.6000000000000000
2026-06-30 03:10:00+00,47.2000000000000000,37.6000000000000000,173.6000000000000000,42.8000000000000000
2026-06-30 03:15:00+00,46.8000000000000000,46.6000000000000000,204.4000000000000000,41.4000000000000000
2026-06-30 03:20:00+00,31.8000000000000000,36.4000000000000000,196.6000000000000000,52.4000000000000000
2026-06-30 03:25:00+00,30.8000000000000000,36.2000000000000000,226.8000000000000000,48.6000000000000000
2026-06-30 03:30:00+00,40.8000000000000000,50.0000000000000000,190.2000000000000000,37.0000000000000000
