period start,updates/m,creations/m,sales/m
2026-04-27 03:15:00+00,37.0000000000000000,53.0000000000000000,146.4000000000000000
2026-04-27 03:20:00+00,39.0000000000000000,34.6000000000000000,239.2000000000000000
2026-04-27 03:25:00+00,39.8000000000000000,29.4000000000000000,184.8000000000000000
2026-04-27 03:30:00+00,34.4000000000000000,36.0000000000000000,182.0000000000000000
2026-04-27 03:35:00+00,36.6000000000000000,30.2000000000000000,206.0000000000000000
2026-04-27 03:40:00+00,27.4000000000000000,48.2000000000000000,181.4000000000000000
2026-04-27 03:45:00+00,32.6000000000000000,37.4000000000000000,177.4000000000000000
2026-04-27 03:50:00+00,46.0000000000000000,41.8000000000000000,193.4000000000000000
2026-04-27 03:55:00+00,47.0000000000000000,31.2000000000000000,178.2000000000000000
2026-04-27 04:00:00+00,44.2000000000000000,38.2000000000000000,155.4000000000000000
2026-04-27 04:05:00+00,43.2000000000000000,50.4000000000000000,112.0000000000000000
2026-04-27 04:10:00+00,47.0000000000000000,46.8000000000000000,156.2000000000000000
2026-04-27 04:15:00+00,48.6000000000000000,44.4000000000000000,191.6000000000000000
2026-04-27 04:20:00+00,60.2000000000000000,42.4000000000000000,156.4000000000000000
2026-04-27 04:25:00+00,53.6000000000000000,35.2000000000000000,178.2000000000000000
2026-04-27 04:30:00+00,60.6000000000000000,43.4000000000000000,187.8000000000000000
2026-04-27 04:35:00+00,50.6000000000000000,56.8000000000000000,128.2000000000000000
2026-04-27 04:40:00+00,28.2000000000000000,48.0000000000000000,191.2000000000000000
2026-04-27 04:45:00+00,51.6000000000000000,43.2000000000000000,164.8000000000000000
2026-04-27 04:50:00+00,59.0000000000000000,50.6000000000000000,177.4000000000000000
2026-04-27 04:55:00+00,57.0000000000000000,41.8000000000000000,161.6000000000000000
2026-04-27 05:00:00+00,64.0000000000000000,33.4000000000000000,144.4000000000000000
2026-04-27 05:05:00+00,70.6000000000000000,37.2000000000000000,175.2000000000000000
2026-04-27 05:10:00+00,65.8000000000000000,50.4000000000000000,174.4000000000000000
2026-04-27 05:15:00+00,80.6000000000000000,34.4000000000000000,109.0000000000000000
2026-04-27 05:20:00+00,67.2000000000000000,48.4000000000000000,121.2000000000000000
2026-04-27 05:25:00+00,76.0000000000000000,33.8000000000000000,131.2000000000000000
