"period start","updates/m","creations/m","sales/m","deletions/m","total/m"
"2026-04-19 16:55:00+00",119.8000000000000000,74.4000000000000000,405.4000000000000000,106.4000000000000000,706.0000000000000000
"2026-04-19 17:00:00+00",106.6000000000000000,93.6000000000000000,325.0000000000000000,91.0000000000000000,616.2000000000000000
"2026-04-19 17:05:00+00",133.2000000000000000,96.2000000000000000,311.2000000000000000,111.4000000000000000,652.0000000000000000
"2026-04-19 17:10:00+00",137.2000000000000000,101.4000000000000000,341.6000000000000000,111.4000000000000000,691.6000000000000000
"2026-04-19 17:15:00+00",129.8000000000000000,91.4000000000000000,315.8000000000000000,120.8000000000000000,657.8000000000000000
"2026-04-19 17:20:00+00",123.4000000000000000,86.0000000000000000,324.2000000000000000,91.8000000000000000,625.4000000000000000
"2026-04-19 17:25:00+00",134.8000000000000000,78.2000000000000000,353.6000000000000000,98.6000000000000000,665.2000000000000000
"2026-04-19 17:30:00+00",112.6000000000000000,73.2000000000000000,357.0000000000000000,81.2000000000000000,624.0000000000000000
"2026-04-19 17:35:00+00",100.6000000000000000,96.6000000000000000,372.6000000000000000,101.0000000000000000,670.8000000000000000
"2026-04-19 17:40:00+00",79.0000000000000000,79.2000000000000000,311.6000000000000000,86.8000000000000000,556.6000000000000000
"2026-04-19 17:45:00+00",84.4000000000000000,89.6000000000000000,306.6000000000000000,94.2000000000000000,574.8000000000000000
"2026-04-19 17:50:00+00",88.4000000000000000,82.8000000000000000,337.0000000000000000,89.4000000000000000,597.6000000000000000
"2026-04-19 17:55:00+00",92.2000000000000000,103.6000000000000000,392.6000000000000000,94.8000000000000000,683.2000000000000000
"2026-04-19 18:00:00+00",114.0000000000000000,92.4000000000000000,296.8000000000000000,99.2000000000000000,602.4000000000000000
"2026-04-19 18:05:00+00",115.2000000000000000,83.2000000000000000,365.0000000000000000,90.0000000000000000,653.4000000000000000
"2026-04-19 18:10:00+00",121.4000000000000000,72.6000000000000000,270.8000000000000000,118.4000000000000000,583.2000000000000000
"2026-04-19 18:15:00+00",136.0000000000000000,89.8000000000000000,329.0000000000000000,82.4000000000000000,637.2000000000000000
"2026-04-19 18:20:00+00",166.4000000000000000,90.2000000000000000,335.8000000000000000,74.4000000000000000,666.8000000000000000
"2026-04-19 18:25:00+00",162.6000000000000000,114.8000000000000000,324.6000000000000000,73.6000000000000000,675.6000000000000000
"2026-04-19 18:30:00+00",160.8000000000000000,120.4000000000000000,333.8000000000000000,91.0000000000000000,706.0000000000000000
"2026-04-19 18:35:00+00",167.0000000000000000,91.6000000000000000,290.0000000000000000,94.4000000000000000,643.0000000000000000
"2026-04-19 18:40:00+00",181.0000000000000000,95.0000000000000000,352.6000000000000000,86.4000000000000000,715.0000000000000000
"2026-04-19 18:45:00+00",165.2000000000000000,107.0000000000000000,328.4000000000000000,97.6000000000000000,698.2000000000000000
