"type_id","name","daily_upd","daily_creat","update_pct"
3195,"Eifyr and Co. 'Gunslinger' Surgical Strike SS-906","   25.88","    8.00","  76.38"
31091,"Medium Salvage Tackle II","   19.00","    5.88","  76.38"
79186,"Mysterious GalNet Crate II","   46.00","   14.25","  76.35"
20345,"100mm Steel Plates II","   27.00","    8.38","  76.33"
14127,"Domination Nanofiber Structure","   30.63","    9.50","  76.32"
13980,"Dark Blood Kinetic Armor Hardener","   49.88","   15.50","  76.29"
12102,"Large Remote Capacitor Transmitter II","   24.13","    7.50","  76.28"
30999,"Medium EM Armor Reinforcer I","   13.25","    4.13","  76.26"
20741,"Arch Angel EMP XL","   29.63","    9.25","  76.21"
26931,"Small Processor Overclocking Unit II","   22.38","    7.00","  76.17"
22468,"Claymore","   43.88","   13.75","  76.14"
40355,"Capital Azeotropic Restrained Shield Extender","   20.63","    6.50","  76.04"
31792,"Capital Core Defense Field Extender I","   28.50","    9.00","  76.00"
26420,"Large Warhead Calefaction Catalyst II","   15.00","    4.75","  75.95"
25896,"Large Auxiliary Nano Pump I","   13.00","    4.13","  75.91"
57463,"Isotropic Neofullerene Alpha-3","   13.38","    4.25","  75.89"
3162,"Light Electron Blaster II","   43.50","   13.88","  75.82"
86263,"Breacher Pod Projection","   20.38","    6.50","  75.81"
31029,"Medium Kinetic Armor Reinforcer II","   12.50","    4.00","  75.76"
17190,"Angel Bronze Tag","   22.25","    7.13","  75.74"
17960,"Prometium","   22.25","    7.13","  75.74"
47738,"Unstable 5MN Microwarpdrive Mutaplasmid","   56.50","   18.13","  75.71"
11552,"Scalar Capacitor Unit","   31.13","   10.00","  75.68"
54779,"BlastShot Condenser Pack L","   21.00","    6.75","  75.68"
92283,"Moreau YC128 Campaign Bus","   63.38","   20.38","  75.67"
19019,"Corpum B-Type Medium Armor Repairer","   19.38","    6.25","  75.61"
37810,"Men's Genolution Combat Suit","   16.63","    5.38","  75.57"
54773,"GalvaSurge Condenser Pack M","   42.00","   13.63","  75.51"
13237,"Eifyr and Co. 'Rogue' Navigation NN-603","   24.63","    8.00","  75.48"
41492,"Capital F-RX Compact Capacitor Booster","   46.50","   15.13","  75.46"
33446,"Caldari Navy Rapid Heavy Missile Launcher","   12.25","    4.00","  75.38"
9497,"1400mm Prototype Siege Cannon","   44.00","   14.38","  75.37"
31904,"Imperial Navy 200mm Steel Plates","   26.00","    8.50","  75.36"
1229,"Gneiss","   13.75","    4.50","  75.34"
31011,"Medium Explosive Armor Reinforcer I","   18.63","    6.13","  75.25"
47843,"Unstable Medium Ancillary Armor Repairer Mutaplasmid","   12.13","    4.00","  75.19"
60315,"ORE Gas Cloud Harvester","   25.00","    8.25","  75.19"
15693,"Imperial Navy Multispectrum Coating","   25.38","    8.38","  75.19"
4346,"Gistum A-Type Multispectrum Shield Hardener","   29.13","    9.63","  75.16"
23172,"Yan Jung Singularity Fact Sheet","   14.75","    4.88","  75.16"
10228,"Zainou 'Gnome' Shield Management SM-703","   52.75","   17.50","  75.09"
11539,"Nanoelectrical Microprocessor","   36.38","   12.13","  75.00"
86261,"Breacher Pod Clone Efficacity","   21.38","    7.13","  75.00"
31946,"Imperial Navy Large Remote Capacitor Transmitter","   15.00","    5.00","  75.00"
34132,"Pilot's Body Resculpt Certificate","   14.25","    4.75","  75.00"
62379,"Compressed Azure Mykoserocin","   28.63","    9.63","  74.84"
15480,"Improved Exile Booster","   41.63","   14.00","  74.83"
19349,"Gistii A-Type 5MN Microwarpdrive","   26.75","    9.00","  74.83"
60465,"Exigent Heavy Drone Durability Mutaplasmid","   18.13","    6.13","  74.74"
14116,"Shadow Serpentis 500MN Microwarpdrive","   49.13","   16.63","  74.71"
20629,"Medium 'Canyon' Shield Extender","   16.25","    5.50","  74.71"
21510,"'Interruptive' Warp Disruptor","   15.88","    5.38","  74.71"
13920,"Dread Guristas Rapid Light Missile Launcher","   48.25","   16.38","  74.66"
11229,"Explosive Energized Membrane II","   16.88","    5.75","  74.59"
52310,"Radiation Absorption Thruster","   37.38","   12.75","  74.56"
60474,"Exigent Medium Drone Durability Mutaplasmid","   21.25","    7.25","  74.56"
62560,"Compressed Crokite","   19.38","    6.63","  74.52"
31944,"Republic Fleet Target Painter","   71.25","   24.38","  74.51"
49790,"ML-EKP 'Polybolos' Ballistic Control System","   13.88","    4.75","  74.50"
40567,"Mantis II","   27.00","    9.25","  74.48"
14100,"Domination Tracking Enhancer","   48.50","   16.63","  74.47"
91568,"Praxis GalNet StreamCast Unit SKIN","   13.13","    4.50","  74.47"
13242,"Eifyr and Co. 'Rogue' Warp Drive Speed WS-610","   20.38","    7.00","  74.43"
3598,"Medium Remote Shield Booster II","   20.00","    6.88","  74.42"
11194,"Kitsune","   38.88","   13.38","  74.40"
3895,"Security Connections","   19.25","    6.63","  74.40"
24638,"Zainou 'Deadeye' Rapid Launch RL-1005","   31.88","   11.00","  74.34"
19264,"Pith C-Type EM Shield Hardener","   14.13","    4.88","  74.34"
34124,"Experimental Jump Drive Economizer","   23.88","    8.25","  74.32"
28797,"Mid-grade Nomad Beta","   19.88","    6.88","  74.30"
9495,"1400mm Gallium Cannon","   23.13","    8.00","  74.30"
12539,"Serpentis Gold Tag","   18.75","    6.50","  74.26"
14108,"Shadow Serpentis 10MN Afterburner","   32.38","   11.25","  74.21"
21484,"'Full Duplex' Ballistic Control System","   26.50","    9.25","  74.13"
57319,"Mobile Cynosural Beacon","   26.13","    9.13","  74.11"
40347,"Dromi I","   21.63","    7.63","  73.93"
